indroea,event_id,inicio,fin,duracion,deficit_hm3
9004,97,1989-10-19,1989-11-05,18,2.9401228800000005
9004,98,1989-12-04,1990-01-16,44,4.245264000000002
9004,99,1990-02-04,1990-04-04,60,22.337424000000006
9004,100,1990-09-24,1990-10-23,30,0.7128000000000004
9004,101,1992-02-28,1992-03-23,25,5.832432000000002
9004,102,1993-01-18,1993-02-27,41,1.7112384000000005
9004,103,1995-10-29,1995-11-22,25,1.8092160000000004
9004,104,1997-03-06,1997-03-13,8,0.42940800000000034
9004,105,1997-04-04,1997-04-18,15,4.350844800000001
9004,106,2000-01-21,2000-02-11,22,0.6635519999999999
9004,107,2000-03-13,2000-03-27,15,3.42576
9004,108,2001-06-06,2001-06-23,18,0.4237920000000001
9004,109,2001-12-05,2002-02-06,64,9.596016000000002
9004,110,2002-03-25,2002-04-03,10,1.5802560000000005
9004,111,2002-04-23,2002-05-04,12,2.487024000000001
9004,112,2005-06-05,2005-06-27,23,0.7231679999999999
9004,113,2008-02-18,2008-03-04,16,1.512950400000001
9004,114,2016-12-24,2017-01-10,18,0.8449919999999999
9004,115,2017-04-16,2017-05-17,32,3.220992
9004,116,2017-08-10,2017-09-10,32,1.0298880000000004
9004,117,2017-09-28,2017-11-05,39,2.2307788800000004
9004,118,2019-01-07,2019-01-19,13,1.6320960000000007
9004,119,2019-03-29,2019-04-09,12,0.30067200000000033
9004,120,2019-06-25,2019-07-02,8,0.34775999999999996
9004,121,2019-07-16,2019-08-22,38,0.45619200000000004
9004,122,2020-05-23,2020-06-03,12,0.5101920000000003
9004,123,2020-06-21,2020-08-07,48,4.815504000000001
9004,124,2020-11-25,2020-12-04,10,1.39968
9004,125,2021-04-01,2021-06-01,62,12.720412800000002
9004,126,2021-07-03,2021-08-01,30,1.793664
9005,127,1987-09-15,1987-10-01,17,0.6313248000000002
9005,128,1995-07-19,1995-07-30,12,0.5771952
9005,129,1995-08-16,1995-09-14,30,0.4010688000000004
9005,130,1995-10-24,1995-11-12,20,0.9858240000000004
9005,131,1999-07-22,1999-08-05,15,2.0690207999999997
9005,132,1999-09-16,2000-03-19,186,33.8010192
9005,133,2000-05-03,2000-06-24,53,1.9032624000000005
9005,134,2000-08-29,2000-09-08,11,0.7518528
9005,135,2001-02-15,2001-03-02,16,4.1344128
9005,136,2001-03-27,2001-06-13,79,17.3772432
9005,137,2001-08-06,2001-10-17,73,1.649980800000001
9005,138,2001-12-21,2001-12-30,10,0.4432320000000002
9005,139,2002-02-27,2002-05-13,76,4.739256000000003
9005,140,2002-06-28,2002-08-30,64,5.304009600000001
9005,141,2002-09-13,2002-10-11,29,2.3879232000000004
9005,142,2003-03-20,2003-04-25,37,1.4719967999999997
9005,143,2003-06-14,2003-08-31,79,6.391008000000001
9005,144,2004-02-03,2004-03-01,28,1.4394239999999998
9005,145,2004-03-21,2004-03-29,9,0.7851168
9005,146,2004-04-10,2004-04-18,9,1.3469760000000002
9005,147,2004-08-13,2004-09-25,44,1.4478048000000001
9005,148,2005-01-29,2005-02-09,12,0.5072544000000004
9005,149,2006-05-30,2006-07-01,33,1.6912800000000003
9005,150,2008-02-19,2008-03-18,29,1.2003552000000006
9005,151,2008-10-11,2008-12-03,54,14.621040000000004
9005,152,2008-12-29,2009-01-19,22,9.812620800000001
9005,153,2011-04-14,2011-06-06,54,8.959118400000001
9005,154,2011-11-15,2011-12-17,33,8.002368000000002
9005,155,2012-01-17,2012-04-06,81,11.357928000000001
9005,156,2015-12-20,2016-01-03,15,0.4661280000000001
9005,157,2016-12-11,2017-01-09,30,0.719712
9005,158,2017-04-24,2017-05-25,32,0.8432640000000002
9005,159,2017-06-07,2017-06-13,7,0.6536160000000002
9005,160,2017-10-02,2017-11-06,36,1.2829536000000006
9005,161,2017-11-19,2017-12-09,21,2.055456000000001
9006,162,1986-07-20,1986-09-10,53,0.013262400000000004
9006,163,1989-02-11,1989-02-25,15,0.014696640000000004
9006,164,1989-06-20,1989-07-05,16,0.013759200000000004
9006,165,1989-12-17,1989-12-21,5,0.0045532800000000016
9006,166,1990-01-17,1990-09-15,242,1.114128
9006,167,1995-07-27,1995-08-24,29,0.004704480000000003
9006,168,2000-02-11,2000-02-15,5,0.0058363200000000025
9006,169,2000-03-01,2000-04-07,38,0.04361040000000002
9006,170,2000-05-23,2000-05-30,8,0.006648479999999999
9006,171,2000-06-18,2000-06-26,9,0.017755200000000002
9006,172,2002-02-12,2002-02-19,8,0.01502496
9006,173,2002-04-09,2002-05-26,48,0.09643536000000001
9006,174,2007-11-10,2007-12-01,22,0.005261760000000005
